390,Michael Porter Jr.,SF,24,DEN,17.4,5.5,1,0.5,0.6
510,Jack White,SF,25,DEN,1.2,1,0.2,0.1,0.2
266,Braxton Key,SF,25,DET,1.3,0.3,0,0,0
20,Patrick Baldwin Jr.,SF,20,GSW,3.9,1.3,0.4,0.1,0.2
227,Andre Iguodala,SF,39,GSW,2.1,2.1,2.4,0.4,0.5
279,Anthony Lamb,SF,25,GSW,6.7,3.5,1.5,0.3,0.5
513,Andrew Wiggins,SF,27,GSW,17.1,5,2.3,0.8,1.2
311,Kenyon Martin Jr.,SF,22,HOU,12.7,5.5,1.5,0.4,0.5
464,Jae'Sean Tate,SF,27,HOU,9.1,3.8,2.7,0.2,0.7
59,Oshae Brissett,SF,24,IND,6.1,3.4,0.7,0.2,0.5
134,Chris Duarte,SF,25,IND,7.9,2.5,1.4,0.2,0.5
209,Buddy Hield,SF,30,IND,16.8,5,2.8,0.3,1.2
314,Bennedict Mathurin,SF,20,IND,16.7,4.1,1.5,0.2,0.6
358,Aaron Nesmith,SF,23,IND,10.1,3.8,1.3,0.5,0.8
288,Kawhi Leonard,SF,31,LAC,23.8,6.5,3.9,0.5,1.4
68,Troy Brown Jr.,SF,23,LAL,7.1,4.1,1.3,0.2,0.8
463,Cole Swider,SF,23,LAL,1.3,1,0.6,0,0
61,Dillon Brooks,SF,27,MEM,14.3,3.3,2.6,0.2,0.9
526,Ziaire Williams,SF,21,MEM,5.7,2.1,0.9,0.2,0.4
75,Jimmy Butler,SF,33,MIA,22.9,5.9,5.3,0.3,1.8
77,Jamal Cain,SF,23,MIA,5.4,2.9,0.7,0.1,0.6
210,Haywood Highsmith,SF,26,MIA,4.4,3.5,0.8,0.3,0.7
415,Duncan Robinson,SF,28,MIA,6.4,1.6,1.1,0,0.3
460,Max Strus,SF,26,MIA,11.5,3.2,2.1,0.2,0.5
12,Thanasis Antetokounmpo,SF,30,MIL,1.4,1.2,0.4,0.1,0.1
37,MarJon Beauchamp,SF,22,MIL,5.1,2.2,0.7,0.1,0.4
104,Jae Crowder,SF,32,MIL,6.9,3.8,1.5,0.3,0.7
228,Joe Ingles,SF,35,MIL,6.9,2.8,3.3,0.1,0.7
332,Khris Middleton,SF,31,MIL,15.1,4.2,4.9,0.2,0.7
322,Jaden McDaniels,SF,22,MIN,12.1,3.9,1.9,1,0.9
336,Josh Minott,SF,20,MIN,3.1,1.7,0.3,0.4,0.3
399,Taurean Prince,SF,28,MIN,9.1,2.4,1.6,0.3,0.5
229,Brandon Ingram,SF,25,NOP,24.7,5.5,5.8,0.4,0.7
253,Herbert Jones,SF,24,NOP,9.8,4.1,2.5,0.6,1.6
308,Naji Marshall,SF,25,NOP,9.1,3.6,2.5,0.2,0.7
350,Trey Murphy III,SF,22,NOP,14.5,3.6,1.4,0.5,1.1
122,Ousmane Dieng,SF,19,OKC,4.9,2.7,1.2,0.2,0.4
220,Caleb Houstan,SF,20,ORL,3.8,1.9,0.6,0.1,0.2
370,Chuma Okeke,SF,24,ORL,4.7,3.6,1.4,0.4,0.7
491,Franz Wagner,SF,21,ORL,18.6,4.1,3.5,0.2,1
219,Danuel House Jr.,SF,29,PHI,4.8,1.7,0.8,0.2,0.3
267,Louis King,SF,23,PHI,20,4,2,0,1
103,Torrey Craig,SF,32,PHO,7.4,5.4,1.5,0.8,0.6
